quarter,experimental,surrogate_index,upper_bias_01,lower_bias_01,upper_bias_05,lower_bias_05
1,0.062003890034059005,0.015472480669610702,0.08957865239679118,-0.05863369105756978,0.18117892147599957,-0.15023396013677814
2,0.062003890034059005,0.03735714747970364,0.10842303528850339,-0.033708740329096105,0.19626530602042935,-0.12155101106102206
3,0.062003890034059005,0.05275073261850629,0.12012151243084226,-0.014620047193829679,0.203396390992339,-0.0978949257553264
4,0.062003890034059005,0.05793122425115874,0.12283673360384276,-0.006974285101525278,0.20306436195410063,-0.08720191345178316
5,0.062003890034059005,0.07154356231747754,0.13339437460361608,0.009692750031339,0.209846186543094,-0.06675906190813892
6,0.062003890034059005,0.07482348319334549,0.13353865530533354,0.01610831108135742,0.20611460443777602,-0.05646763805108505
7,0.062003890034059005,0.07481417570655868,0.13129136477058456,0.018336986642532804,0.20110101018493698,-0.05147265877181961
8,0.062003890034059005,0.07634267528706161,0.13072776367121308,0.02195758690291015,0.1979514317696628,-0.045266081195539556
9,0.062003890034059005,0.08004170190314822,0.13223417382459215,0.027849229981704277,0.19674761872510485,-0.03666421491880842
10,0.062003890034059005,0.07826802390120786,0.12848113360307972,0.028054914199335992,0.19054796057246487,-0.034011912770049155
11,0.062003890034059005,0.07992179514366828,0.12814000444013318,0.031703585847203355,0.18774098725516042,-0.02789739696782388
12,0.062003890034059005,0.0788592998213943,0.12463619600011668,0.03308240364267191,0.1812195483870681,-0.023500948744279535
13,0.062003890034059005,0.07810791767687814,0.12128909490556733,0.03492674044818894,0.17466397024245278,-0.01844813488869651
14,0.062003890034059005,0.07863643337735117,0.11981072594174326,0.03746214081295908,0.1707049490953344,-0.013432082340632076
15,0.062003890034059005,0.07876761253108983,0.11873438204755787,0.03880084301462178,0.16813602293958668,-0.010600797877407031
16,0.062003890034059005,0.07122721391866495,0.10866769644568254,0.033786731391647354,0.1549466760749607,-0.01249224823763083
17,0.062003890034059005,0.07493295161398922,0.11017569540413891,0.03969020782383953,0.153738122567263,-0.003872219339284555
18,0.062003890034059005,0.07650421539399886,0.10915803143832946,0.043850399349668265,0.1495203671798494,0.003488063608148337
19,0.062003890034059005,0.0746119255051877,0.10570590289690752,0.04351794811346789,0.1441401773915555,0.005083673618819909
20,0.062003890034059005,0.0769187017211063,0.10555229623404576,0.04828510720816685,0.1409453703888996,0.012892033053313032
21,0.062003890034059005,0.07407822041919779,0.10052153236380171,0.04763490847459387,0.13320726483276438,0.014949176005631198
22,0.062003890034059005,0.07292260044814404,0.09762633779646214,0.04821886309982594,0.12816183829308803,0.01768336260320004
23,0.062003890034059005,0.07413110580730457,0.09688039567756672,0.05138181593704243,0.12500006776738187,0.023262143847227287
24,0.062003890034059005,0.07372209276346403,0.09459597463993269,0.05284821088699537,0.12039751033572393,0.027046675191204128
25,0.062003890034059005,0.07270148581819237,0.09192063472227753,0.05348233691410721,0.11567681095556916,0.029726160680815586
26,0.062003890034059005,0.06860723207181216,0.08587750466948271,0.0513369594741416,0.10722473869508028,0.02998972544854403
27,0.062003890034059005,0.06753477505462512,0.08280023983733996,0.05226931027191027,0.10166939399259432,0.03340015611665591
28,0.062003890034059005,0.06534958234898099,0.07892736117265471,0.05177180352530726,0.0957104188846732,0.03498874581328877
29,0.062003890034059005,0.06447349412620615,0.07612942921251606,0.05281755903989624,0.09053695870817255,0.03841002954423975
30,0.062003890034059005,0.06335597995188674,0.0731136048909708,0.05359835501280269,0.0851746923055931,0.04153726759818038
31,0.062003890034059005,0.06471596694487412,0.07290688100206931,0.05652505288767894,0.08303140698868115,0.04640052690106709
32,0.062003890034059005,0.06279589042340852,0.06929530894657113,0.05629647190024592,0.07732903205131628,0.04826274879550077
33,0.062003890034059005,0.0629802520157279,0.06791903979643002,0.05804146423502579,0.07402371771200314,0.05193678631945267
34,0.062003890034059005,0.061630205608784815,0.0648793286028054,0.05838108261476423,0.06889546512055364,0.054364946097016
35,0.062003890034059005,0.06238536045298246,0.0641158483677384,0.06065487253822652,0.06625484928831724,0.05851587161764768
36,0.062003890034059005,0.06200389024181358,0.06200389252985423,0.062003887953772936,0.062003895358028145,0.06200388512559902
